id,autodel_analysis_age_limit,autodel_analysis_limit,autodel_overwrite_global,created,description_xml,last_analysis_id,name_xml,next_sequence_id,parent_id,path_xml
119,"","",False,2018-04-25 17:18:54.615498+09:00,"",470,avn_kk_lk_20180425,2,1,/avn_kk_lk_20180425
122,"","",False,2018-04-26 11:05:27.596362+09:00,"",482,Heron_ADS_CommonPatch_201804,2,1,/Heron_ADS_CommonPatch_201804
141,"","",False,2018-05-12 13:08:27.507552+09:00,"",1337,TCC3730-DSP-HYH,24,1,/TCC3730-DSP-HYH
149,"","",False,2018-05-17 11:54:53.045762+09:00,"",684,avn-kk-lk-qb,2,1,/avn-kk-lk-qb
165,"","",False,2018-05-17 16:04:35.840722+09:00,"",714,bsp-avn-kk-lk-wang,2,1,/bsp-avn-kk-lk-wang
175,"","",False,2018-05-21 15:07:02.276411+09:00,"",757,AAS_AVN_KK_DT_ADTEAM_CAMERA_kernel_180521,4,1,/AAS_AVN_KK_DT_ADTEAM_CAMERA_kernel_180521
180,"","",False,2018-05-24 15:42:15.255736+09:00,"",1331,TCC3730-CM3-HYH,25,1,/TCC3730-CM3-HYH
182,"","",False,2018-05-25 13:32:38.014913+09:00,"",790,avnkkdt_adteam_hdmi_lk_180525,2,1,/avnkkdt_adteam_hdmi_lk_180525
183,"","",False,2018-05-25 16:51:08.162362+09:00,"",1139,bsp-avn-kk-v2.1-lk-mj,43,1,/bsp-avn-kk-v2.1-lk-mj
186,"","",False,2018-05-25 18:14:52.737369+09:00,"",1080,avn-kk-v2.1_160512-kernel-audio,10,1,/avn-kk-v2.1_160512-kernel-audio
187,"","",False,2018-05-28 10:39:18.111663+09:00,"",1129,bsp-avn-kk-v2.1-kernel-gb,27,1,/bsp-avn-kk-v2.1-kernel-gb
190,"","",False,2018-05-28 10:48:54.217054+09:00,"",807,avnkkdt_adteam_camera_kernel_180525,2,1,/avnkkdt_adteam_camera_kernel_180525
192,"","",False,2018-05-28 10:56:58.389514+09:00,"",809,carplay.mobis.20180528.03,2,1,/carplay.mobis.20180528.03
194,"","",False,2018-05-28 11:54:43.585458+09:00,"",1008,avn-kk-earlycam,4,1,/avn-kk-earlycam
196,"","",False,2018-05-28 13:44:04.897649+09:00,"",818,iap1.mobis.20180528.03,2,1,/iap1.mobis.20180528.03
198,"","",False,2018-05-28 15:37:24.575626+09:00,"",821,iap2.mobis.20180528.04,2,1,/iap2.mobis.20180528.04
201,"","",False,2018-05-29 14:20:17.689192+09:00,"",858,tmsp180529,2,1,/tmsp180529
205,"","",False,2018-05-31 19:11:21.243065+09:00,"",891,180531_tdd_adteam,2,1,/180531_tdd_adteam
211,"","",False,2018-06-04 20:09:52.541469+09:00,"",1184,bsp-avn-kk-v2.1-kernel-mj,35,1,/bsp-avn-kk-v2.1-kernel-mj
213,"","",False,2018-06-08 17:31:23.851019+09:00,"",989,avn-kk-kernel-0608-wang,7,1,/avn-kk-kernel-0608-wang
215,"","",False,2018-06-11 16:31:06.577409+09:00,"",9563,Project1,122,1,/Project1
223,"","",False,2018-06-14 15:23:25.876639+09:00,"",1660,TCC803x_micom_mj,25,1,/TCC803x_micom_mj
233,"","",False,2018-06-14 18:39:01.531660+09:00,"",1060,tcc803x-micom-SHS,3,1,/tcc803x-micom-SHS
236,"","",False,2018-06-19 13:52:42.032709+09:00,"",1147,avn-kk-v2.1_earlycam,4,1,/avn-kk-v2.1_earlycam
240,"","",False,2018-06-20 11:25:24.676272+09:00,"",1109,tcc803x-micom-shs,2,1,/tcc803x-micom-shs
255,"","",False,2018-06-21 10:51:37.574147+09:00,"",1126,JNK_WFD_897x_Codesonar_Base,2,1,/JNK_WFD_897x_Codesonar_Base
263,"","",False,2018-06-25 18:14:25.933587+09:00,"",1142,sp_firmware,2,1,/sp_firmware
264,"","",False,2018-06-26 10:39:00.588328+09:00,"",1145,VOUT_avn-kk-v2.1_lk,2,1,/VOUT_avn-kk-v2.1_lk
265,"","",False,2018-06-26 10:40:43.689552+09:00,"",1146,VOUT_avn-kk-v2.1_kernel,2,1,/VOUT_avn-kk-v2.1_kernel
266,"","",False,2018-06-26 11:11:41.701221+09:00,"",1150,avn_kk_v2.1_kernel_camera,2,1,/avn_kk_v2.1_kernel_camera
268,"","",False,2018-06-26 11:58:35.339218+09:00,"",1152,kernel-v4.4-tcc,2,1,/kernel-v4.4-tcc
270,"","",False,2018-06-26 13:45:31.043018+09:00,"",1179,avn-kk-dt-qb-lk_180626,10,1,/avn-kk-dt-qb-lk_180626
271,"","",False,2018-06-26 17:55:19.285640+09:00,"",1171,avn-kk-earlycam_lk_2,4,1,/avn-kk-earlycam_lk_2
274,"","",False,2018-06-27 09:28:22.312521+09:00,"",1344,tms-player,5,1,/tms-player
275,"","",False,2018-06-27 09:47:43.759802+09:00,"",1172,avn-kk-earlycam_lk_final,2,1,/avn-kk-earlycam_lk_final
277,"","",False,2018-06-27 11:47:36.318495+09:00,"",1182,avn-kk-dt-qb-fw_180627,3,1,/avn-kk-dt-qb-fw_180627
